funding_scheme,Frequency,Funding Scheme
Take-off WO fase 1 - Haalbaarheidsstudies 2023 TTW 1,2,Take
KIEM GoCI KIEM GoCI 2020-2023 KIEM GoCI 2020-2021 KIEM GoCI 2020-2021 - Batch 3,2,KIEM
RAAK-mkb RAAK-mkb maart 2022,2,RAAK
Innofest X SIA Innofest X SIA Sport Innofest X SIA Sport 2024,2,Inno
Top-up voor doorwerking Top-up 2020 Top-up 2020 Top-up voor doorwerking Top-up 2020 batch 1,2,Top-
RAAK-PRO RAAK-PRO november 2016,2,RAAK
Take-off hbo Take-off 2016-1 SIA,2,Take
Topsector Creatieve Industrie – Kennis Innovatie Mapping (KIEM) 2018-2021 - CI KIEM ronde 2018-2019 Verwerkingsronde 12 september 2019,2,Tops
RAAK-publiek RAAK-publiek juni 2020,2,RAAK
Take-off hbo Take-off 2019-7 SIA,2,Take
NWA L2 - Thema 2020 - Bruggen en kademuren in stedelijk gebied - Urbiquay,2,NWA 
NWA L2 - Thema 2020 - Fundamenten voor de bouw - Transitie naar een circulaire en emissievrije bouw,2,NWA 
NWA L3 - Netwerken - Ondersteuning NWA-Routemanagement 2019,2,NWA 
SGW Open Competitie XS Pilot 2022-2023 ronde 1-2,2,SGW 
NWA L3 - NWA - Ideeëngenerator NWA-IDG-2019-2,2,NWA 
NWO-Talentprogramma Veni SGW 2022 - Recht en Bestuur,2,NWO-
KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2018 Circulaire Economie - Batch 1,2,KIEM
Maatschappelijk verantwoord innoveren MVI 2014 GW,2,Maat
RAAK-mkb RAAK-mkb oktober 2017,2,RAAK
KIEM GoChem KIEM GoChem 2019-2024 KIEM GoChem 2020-2021 KIEM GoChem 2020-2021 - Batch 6,2,KIEM
NWA L3 - Vernieuwing - Kleine projecten NWA-routes,2,NWA 
Platformregeling Platformregeling 2016-2017 SIA Platformregeling 2016-2017 SIA Verwerkingsronde,1,Plat
Hbo-postdoc Hbo-postdoc 2018-2022 hbo-postdoc 2021 HBO-postdoc 2021 ophaalmoment 4,1,Hbo-
NWO-Talentprogramma Veni VENI 2013 GW,1,NWO-
Platformregeling Platformregeling 2019 SIA Platformregeling 2019 SIA - Batch 1,1,Plat
Maatschappelijk verantwoord innoveren NWO - MVI 2016,1,Maat
KIEM KIEM 2022-2023 KIEM 2023,1,KIEM
Deltapremie Deltapremie Deltapremie 2021,1,Delt
Energietransities 2009 MaGW,1,Ener
Graduate School Groene Topsectoren 2018/2019 Call 2019,1,Grad
Hbo-postdoc Hbo-postdoc 2018-2022 hbo-postdoc 2021 HBO-postdoc 2021 ophaalmoment 3,1,Hbo-
KIEM 2015-2017 VANG KIEM-VANG - 2015-1 SIA KIEM-VANG - 2015-1 SIA - Batch 7,1,KIEM
Innovatietrainees Innovatietrainees 2020 Pilot Innovatietraineeship 2020,1,Inno
Integrated Programmes 2009 WOTRO,1,Inte
Joint SDG research initiative - Tackling Global Challenges through Use-Inspired Research SDG call 2017,1,Join
KIEM 2015-2017 VANG KIEM-VANG - 2015-1 SIA KIEM-VANG - 2015-1 SIA - Batch 1,1,KIEM
KIEM 2015-2017 VANG KIEM-VANG - 2015-1 SIA KIEM-VANG - 2015-1 SIA - Batch 2,1,KIEM
Onderzoekstalent 2014 MaGW,1,Onde
KIEM 2015-2017 VANG KIEM-VANG - 2017-2 SIA KIEM-VANG - 2017-2 SIA - Batch 1,1,KIEM
Maatschappelijk verantwoord innoveren MVI 2015 GW,1,Maat
KIEM 2015-2017 VANG KIEM-VANG - 2017-2 SIA KIEM-VANG - 2017-2 SIA - Batch 2,1,KIEM
KIEM 2016-2017 Topsectoren Creatief 2016-2017 SIA Creatief 2016-2017 SIA Batch 5,1,KIEM
KIEM 2016-2017 Topsectoren HTSM - Smart Industry 2016-2017 SIA HTSM - Smart Industry 2016-2017 SIA Batch 3,1,KIEM
Open Competitie ENW - M 2020/2021 M20-4,1,Open
NWO-Talentprogramma Vici SGW 2022,1,NWO-
Onderzoekstalent 2012 MaGW,1,Onde
Nationale Wetenschapsagenda Startimpuls NWA-route Circulaire Economie Gebouwde omgeving en kunststoffen / 2018,1,Nati
KIEM 2016-2017 Topsectoren Logistiek 2016-2017 SIA Logistiek 2016-2017 SIA Batch 7,1,KIEM
NRO Programmaraad* Gezamenlijk Onderwijsonderzoek Samenwerken aan onderwijskwaliteit in de regio '23,1,NRO 
NWA L1 - Onderzoek op Routes door Consortia 2022 - NWA-ORC 2022,1,NWA 
NWA L2 - Thema 2020 - Safe by design - Naar een praktische SbD aanpak - Fase 1,1,NWA 
NWA L3 - Netwerken - Ondersteuning NWA-Routemanagement 2021,1,NWA 
NWA L3 - Netwerken - Ondersteuning Routemanagement 2023/2024,1,NWA 
NWA L3 - Vernieuwing - Kleine projecten voor NWA-routes 21/22,1,NWA 
NWA L4 - Matchmakingsbijeenkomsten - NWA MB NWA MB verwerkingsronde 2018,1,NWA 
NWO-ENW Wetenschappelijke Bijeenkomsten en Ontmoetingen Algemeen ENW WBO 2023 WBO 2023-1,1,NWO-
NWO-Talentprogramma Veni 2017 CW,1,NWO-
NWO-Talentprogramma Veni SGW 2019 - Cultuurwetenschappen,1,NWO-
NWO-Talentprogramma Veni SGW 2020 - Recht en bestuur,1,NWO-
NWO-Talentprogramma Veni SGW 2021 - Recht en bestuur,1,NWO-
Merian Fund Cooperation China-The Netherlands (NSFC) Urbanisation and Demographic Change 2019,1,Meri
NWO-Talentprogramma Veni SGW 2022 - Sociale Wetenschappen,1,NWO-
NWO-Talentprogramma Vici DO 2018,1,NWO-
NWO-Talentprogramma Vici SGW 2019,1,NWO-
NWO-Talentprogramma Vici SGW 2021,1,NWO-
NWO-Talentprogramma Vici VICI 2012 GW,1,NWO-
NWO-Talentprogramma Vidi 2013 MaGW,1,NWO-
NWO-Talentprogramma Vidi SGW 2017,1,NWO-
KIEM 2016-2017 Topsectoren Logistiek 2016-2017 SIA Logistiek 2016-2017 SIA Batch 1,1,KIEM
Top-up voor doorwerking Top-up 2020 Top-up 2020 Top-up voor doorwerking Top-up 2020 batch 2,1,Top-
KIEM GoChem KIEM GoChem 2019-2024 KIEM GoChem 2019 KIEM GoChem 2019 - Batch 1,1,KIEM
Take-off hbo Take-off 2019-6 SIA,1,Take
The Netherlands - CGIAR research programme NL-CGIAR Senior Expert Programme Senior Expert Programme (SEP) SEP 2018/1,1,The 
Top-up Top-up 2016-1 SIA,1,Top-
Topsector Creatieve Industrie – Kennis Innovatie Mapping (KIEM) 2018-2021 - CI KIEM ronde 2018-2019 Verwerkingsronde 6 september 2018,1,Tops
Topsector Logistiek 2018 - 2021 Accelerator Accelerator 2020,1,Tops
Topsector Logistiek Programmering 2015 - 2020 Accelerator 2016 Accelerator 2016 verwerkingsronde,1,Tops
RAAK-publiek RAAK-publiek november 2021,1,RAAK
RAAK-publiek RAAK-publiek juni 2019,1,RAAK
Creatieve Industrie Transities en Gedrag TG 2019,1,Crea
RAAK-PRO RAAK-PRO oktober 2022,1,RAAK
RAAK-mkb RAAK-mkb maart 2021,1,RAAK
RAAK-mkb RAAK-mkb oktober 2018,1,RAAK
RAAK-mkb RAAK-mkb maart 2018,1,RAAK
RAAK-mkb RAAK-mkb maart 2016,1,RAAK
RAAK-PRO RAAK-PRO september 2021,1,RAAK
RAAK-PRO RAAK-PRO december 2018,1,RAAK
RAAK-mkb RAAK-mkb september 2021,1,RAAK
RAAK-mkb RAAK-mkb oktober 2015,1,RAAK
Promotiebeurs voor leraren - 2015 BOO,1,Prom
Promotiebeurs voor leraren - PvL 2018-II,1,Prom
Promotiebeurs voor leraren - PvL 2022-II,1,Prom
RAAK-mkb RAAK-mkb september 2022,1,RAAK
Take-off hbo Take-off 2021-11 SIA,1,Take
Take-off hbo Take-off 2017-3 SIA,1,Take
KIEM GoChem KIEM GoChem 2019-2024 KIEM GoChem 2019 KIEM GoChem 2019- Batch 4,1,KIEM
Take-off hbo Take-off 2016-2 SIA,1,Take
KIEM GoChem KIEM GoChem 2019-2024 KIEM GoChem 2022-2023 KIEM GoChem 2022-2023 - Batch 1,1,KIEM
KIEM GoChem KIEM GoChem 2019-2024 KIEM GoChem 2022-2023 KIEM GoChem 2022-2023 - Batch 3,1,KIEM
KIEM HighTech KIEM HighTech 2024 KIEM HighTech 2024 KIEM HighTech 2024 - Batch 1,1,KIEM
KIEM KIEM 2018 KIEM-hbo High Tech Systemen & Materialen High Tech Systemen & Materialen High Tech Systemen & Materialen - Batch 2,1,KIEM
KIEM KIEM 2018 KIEM-hbo Logistiek Logistiek Logistiek - Batch 1,1,KIEM
KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2020 Circulaire Economie 2020 - Batch 1,1,KIEM
KIEM 2015-2017 VANG KIEM-VANG - 2017-2 SIA KIEM-VANG - 2017-2 SIA - Batch 4,1,KIEM
Platformregeling Platformregeling 2022-2024 SIA Ronde 1,1,Plat
NWO-Talentprogramma Veni SGW 2019 - Filosofie en religie,1,NWO-
Professional doctorate Financiering PD-kandidaten 2023-2027 Financiering Professional Doctorate-kandidaten Financiering PD-kandidaten batch 3,1,Prof
RAAK-publiek RAAK-publiek november 2023,1,RAAK
SGW JPI Climate - AXIS - SGW JPI Climate -AXIS -,1,SGW 
SGW Open Competitie M Recht en Bestuur 2022,1,SGW 
Professional doctorate Financiering PD-kandidaten 2023-2027 Financiering Professional Doctorate-kandidaten Financiering PD-kandidaten batch 2,1,Prof
SPRONG 2020 SPRONG Groen SPRONG Groen,1,SPRO
"Samenwerking China (NSFC) - reis- en verblijfkosten, seminars NSFC Reis- en verblijfkosten VW 2016 NSFC Reis- en Verblijfskosten",1,Same
Samenwerking China - Joint Scientific Thematic Research Programme (JSTP) - dialoogseminars 2015 BOO,1,Same
Samenwerking China Open Research Area 2014 2014 MaGW,1,Same
Science Diplomacy Fund SDF Science Diplomacy Fund,1,Scie
Slimme Sturing - call voor volledige aanvragen 2014 MaGW,1,Slim
Take-off  fase 2 - Vroege fase traject 2016 STW 1,1,Take
VerDuS Smart Urban Regions of the Future - VerDuS SURF Pop Up 2017 1e ronde,1,VerD
